Date,Hour,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2025-06-13,00-01,"71,34","71,34","71,34","88,46","84,59","70,29","70,29","87,71","105,63","60,05","70,30","3,90","61,06","67,82","23,17","8,76","50,56","5,17","4,66","36,02","70,59"
2025-06-13,01-02,"55,24","55,24","55,24","78,65","83,42","51,38","55,25","87,00","106,18","55,25","55,26","3,56","58,59","63,99","18,33","7,31","50,02","4,53","4,15","28,35","54,66"
2025-06-13,02-03,"58,65","58,65","58,65","75,96","87,92","52,04","58,61","89,90","105,60","58,61","58,62","2,45","55,92","60,41","18,46","6,55","49,84","3,51","3,09","29,38","58,02"
2025-06-13,03-04,"62,56","62,56","62,56","75,91","85,85","60,03","63,42","91,00","105,56","61,79","62,84","2,07","56,47","61,38","18,73","5,96","49,79","3,21","2,75","31,20","61,88"
2025-06-13,04-05,"62,97","62,97","62,97","75,37","86,60","57,87","63,84","97,54","105,61","62,93","62,93","2,92","56,68","61,78","18,37","4,39","49,58","4,11","3,57","31,55","62,29"
2025-06-13,05-06,"70,91","70,91","70,91","80,10","100,00","60,87","70,71","100,00","104,20","70,71","70,71","5,28","57,70","63,43","18,08","4,20","50,32","5,32","5,43","35,97","70,10"
2025-06-13,06-07,"83,84","83,84","83,84","91,70","104,10","65,25","83,68","109,25","106,29","83,68","83,68","49,98","60,32","64,58","19,25","4,22","52,89","6,12","5,21","41,89","82,91"
2025-06-13,07-08,"86,50","86,50","86,50","85,75","115,15","80,19","87,26","121,60","104,88","86,42","87,27","86,50","60,53","63,52","20,69","11,11","55,12","6,76","6,13","43,20","85,58"
2025-06-13,08-09,"76,25","76,25","76,25","75,99","107,58","68,94","77,39","115,00","105,19","76,33","75,48","76,25","59,30","62,85","23,00","10,92","54,78","7,17","6,62","39,13","75,61"
2025-06-13,09-10,"39,62","39,62","39,62","40,44","62,52","40,03","40,03","80,00","58,64","40,03","39,16","39,62","51,93","53,52","15,92","8,64","50,77","6,85","6,59","21,79","39,34"
2025-06-13,10-11,"4,27","4,27","4,27","4,10","16,42","12,21","4,10","23,00","4,27","4,10","4,20","14,54","49,79","50,00","17,36","4,20","49,18","4,20","4,20","4,20","4,20"
2025-06-13,11-12,"0,69","0,69","0,69","-0,04","0,29","0,24","-0,03","0,69","0,32","0,69","0,69","18,23","46,61","46,61","13,03","0,69","46,53","0,69","0,69","0,69","0,69"
2025-06-13,12-13,"0,02","0,02","0,02","-4,63","-0,46","-0,01","-2,05","-0,08","0,00","-0,08","-0,08","18,69","28,94","26,62","6,15","0,76","46,28","0,37","0,32","0,09","-0,04"
2025-06-13,13-14,"-0,14","-0,14","-0,14","-12,32","-0,25","-0,02","-6,09","-0,29","0,14","-0,28","-0,25","8,00","29,78","26,97","10,21","0,52","45,59","0,16","0,11","-0,10","-0,22"
2025-06-13,14-15,"0,01","0,01","0,01","-10,07","-1,03","-1,02","-6,01","-1,45","0,01","-0,47","-0,24","15,37","28,23","19,20","12,40","0,71","48,27","0,27","0,21","-0,05","-0,20"
2025-06-13,15-16,"0,49","0,49","0,49","-3,04","-1,30","-0,01","-2,38","-1,38","39,34","-0,06","0,47","15,94","40,18","41,56","9,19","0,64","46,97","0,56","0,55","0,50","0,48"
2025-06-13,16-17,"2,30","2,30","2,30","-0,01","0,93","0,93","-0,01","1,03","82,10","-0,01","2,30","26,25","49,26","49,26","9,30","2,30","49,11","2,30","2,30","2,30","2,30"
2025-06-13,17-18,"32,71","32,71","32,71","38,37","63,10","39,28","35,90","68,90","106,55","35,90","32,65","32,71","54,86","57,67","12,08","5,42","50,04","4,44","4,20","17,90","32,78"
2025-06-13,18-19,"84,38","84,38","84,38","83,68","110,00","61,37","80,04","95,00","116,79","77,57","77,08","84,38","59,69","64,25","19,50","4,15","54,41","4,53","3,77","38,36","77,63"
2025-06-13,19-20,"103,10","103,10","103,10","121,94","139,68","90,40","108,90","122,39","152,90","100,00","101,44","103,10","61,54","67,50","12,47","4,22","54,46","4,98","3,86","48,82","101,76"
2025-06-13,20-21,"109,94","109,94","109,94","147,23","135,67","105,47","111,19","123,00","244,90","109,20","109,21","80,03","63,67","70,90","10,48","4,18","53,90","4,25","3,00","52,22","108,58"
2025-06-13,21-22,"93,78","93,78","93,78","120,29","114,00","97,33","94,90","121,00","197,19","93,29","93,29","80,05","63,95","72,01","14,38","4,29","51,25","2,03","1,73","44,94","92,59"
2025-06-13,22-23,"76,53","76,53","76,53","106,91","97,80","97,18","90,00","108,60","124,01","78,77","78,78","38,94","64,06","71,49","16,88","3,85","50,50","1,20","0,95","37,15","75,76"
2025-06-13,23-00,"70,25","70,25","70,25","86,97","81,01","79,22","71,30","93,90","106,01","70,41","70,41","7,08","61,86","68,62","13,30","2,18","49,74","0,16","0,00","33,73","69,56"
