Date,Hour,EE,LT,LV,AT,BE,FR,GER,NL,PL,DK1,DK2,FI,NO1,NO2,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2025-03-09,00-01,"93,32","93,32","93,32","103,60","78,88","35,40","95,19","84,97","93,32","95,19","95,19","1,51","39,36","40,32","9,97","3,74","35,59","1,64","1,87","24,59","42,85"
2025-03-09,01-02,"140,19","140,19","140,19","100,61","80,10","35,01","94,81","86,80","95,67","94,81","94,81","2,03","38,87","38,93","8,00","3,59","36,01","2,13","2,29","23,75","41,06"
2025-03-09,02-03,"134,92","134,92","134,92","100,32","78,75","35,01","94,44","85,70","95,75","94,44","94,44","2,59","38,87","39,22","6,93","3,59","35,32","2,64","2,76","23,48","40,19"
2025-03-09,03-04,"139,97","139,97","139,97","103,55","85,00","33,29","96,51","95,86","98,66","96,51","96,51","3,78","38,34","38,77","5,95","3,60","34,46","3,78","3,84","23,31","38,32"
2025-03-09,04-05,"100,95","100,95","100,95","106,28","86,08","29,97","98,67","97,72","100,95","98,67","98,67","4,89","38,29","38,70","6,34","3,59","34,53","4,89","4,91","23,65","38,20"
2025-03-09,05-06,"134,99","134,99","134,99","109,20","88,45","31,40","101,51","99,85","103,98","101,51","101,51","5,88","38,05","37,99","6,96","3,52","35,03","5,87","5,91","24,12","37,97"
2025-03-09,06-07,"145,37","145,37","145,37","107,54","88,15","31,81","100,00","100,00","102,76","100,00","100,00","6,40","38,95","38,99","6,95","3,60","35,64","6,40","6,40","24,76","38,70"
2025-03-09,07-08,"211,57","211,57","211,57","97,06","83,61","35,00","93,01","87,34","94,62","93,01","93,00","11,96","39,08","38,77","7,00","3,79","36,04","11,95","11,75","26,50","37,52"
2025-03-09,08-09,"66,26","66,26","66,26","67,65","60,39","35,00","65,40","62,21","66,26","65,40","59,02","38,67","37,92","36,47","10,27","3,61","36,41","31,99","31,17","32,55","32,96"
2025-03-09,09-10,"29,27","29,27","29,27","29,27","29,27","29,27","29,27","29,27","29,27","29,27","24,41","50,70","35,86","33,36","6,29","3,60","34,79","16,70","19,52","22,66","23,96"
2025-03-09,10-11,"54,83","54,83","54,83","10,10","10,10","10,10","10,10","10,10","10,10","10,10","21,32","54,83","32,00","29,68","4,25","2,98","30,97","14,38","16,82","19,72","20,92"
2025-03-09,11-12,"50,74","50,74","50,74","1,65","-11,55","9,13","0,03","-6,55","0,71","0,03","3,95","50,75","28,92","28,79","9,05","3,78","27,36","5,35","5,04","4,33","4,04"
2025-03-09,12-13,"49,56","49,56","49,56","0,50","-21,88","13,20","-2,26","-12,77","-1,17","-2,26","1,29","49,56","27,33","27,93","13,84","2,93","25,90","4,67","3,98","2,22","1,50"
2025-03-09,13-14,"55,61","55,61","55,61","-0,42","-13,56","7,10","-2,04","-8,06","-1,40","-2,04","3,95","55,61","28,47","28,30","9,59","3,70","26,99","5,03","4,86","4,26","4,02"
2025-03-09,14-15,"157,01","157,01","157,01","0,70","-4,25","3,52","0,09","-2,21","0,33","0,09","11,03","157,01","30,66","29,62","7,99","3,65","29,37","8,49","9,59","10,49","10,91"
2025-03-09,15-16,"100,97","100,97","100,97","17,39","17,39","17,39","17,39","17,39","64,68","17,39","28,01","100,96","36,90","34,82","9,10","3,87","35,67","23,57","24,27","26,73","27,68"
2025-03-09,16-17,"141,64","141,64","141,64","96,25","75,19","35,01","90,56","81,00","91,85","90,56","68,99","141,64","39,62","41,06","29,43","2,70","37,29","47,99","45,52","44,54","43,97"
2025-03-09,17-18,"249,99","249,99","249,99","133,96","104,18","47,68","125,74","112,06","127,48","112,06","107,86","249,99","37,10","44,76","33,77","2,69","37,24","69,91","66,81","66,92","66,68"
2025-03-09,18-19,"218,27","218,27","218,27","140,93","122,84","89,02","135,37","127,46","135,70","134,16","134,15","218,27","34,00","57,86","46,48","3,45","36,77","129,66","124,79","128,53","131,90"
2025-03-09,19-20,"154,01","154,01","154,01","139,07","133,52","124,50","136,70","134,63","135,71","136,70","132,71","154,01","34,36","59,25","45,79","3,59","37,04","125,40","121,01","123,46","124,02"
2025-03-09,20-21,"129,06","129,06","129,06","131,49","129,58","127,60","130,20","129,78","129,06","130,20","114,54","129,07","37,66","44,20","33,49","3,59","37,64","66,57","63,76","63,60","63,31"
2025-03-09,21-22,"121,91","121,91","121,91","124,30","120,87","115,66","122,70","121,44","121,91","121,44","107,87","121,91","40,52","42,90","29,84","3,62","36,89","48,84","46,46","45,48","44,92"
2025-03-09,22-23,"112,97","112,97","112,97","114,41","108,52","97,04","112,80","110,01","112,97","110,01","104,56","112,97","40,11","41,63","20,31","3,80","36,12","41,28","39,68","39,92","39,87"
2025-03-09,23-00,"80,13","80,13","80,13","108,73","101,74","88,06","106,83","103,64","107,04","103,64","103,64","80,13","39,91","41,43","17,99","4,08","35,61","39,30","37,91","38,46","38,55"
