contract_name,retailer_name,fixed_price_element_ore_kwh,unit_price_ore_kwh,wholesale_price_monthly_avg_ore_kwh,markup_ore_kwh,variable_costs_ore_kwh,vat_ore_kwh,total_ore_kwh,energy_source,contract_type,date,bidding_zone
Kvartspris Rörlig Elområde 1 - Minipris,Elnor Elhandel AB,18.72 öre/kWh,0,15.83 öre/kWh,0.00 öre/kWh,5.22 öre/kWh,9.94 öre/kWh,49.71 öre/kWh,Sol_Vind_Vatten_Biobränsle_Kärnkraft,quarterly_price,2026-08-02,SE1
Kvartspris Rörlig Elområde 1 - Standardpris,Elnor Elhandel AB,28.32 öre/kWh,0,15.83 öre/kWh,4.80 öre/kWh,5.22 öre/kWh,13.54 öre/kWh,67.71 öre/kWh,Sol_Vind_Vatten_Biobränsle_Kärnkraft,quarterly_price,2026-08-02,SE1
Fast pris 6 månader,CHEAP ENERGY AB,0.00 öre/kWh,82.32 öre/kWh,0,0,0,20.58 öre/kWh,102.90 öre/kWh,Fossilt,fixed_price_6_months,2026-08-02,SE1
"Fast pris 6 månader, Förnybar el",CHEAP ENERGY AB,0.00 öre/kWh,82.32 öre/kWh,0,0,0,20.58 öre/kWh,102.90 öre/kWh,Sol_Vind_Vatten_Biobränsle,fixed_price_6_months,2026-08-02,SE1
Fast pris 6 månader,SVEKRAFT AB,0.00 öre/kWh,87.99 öre/kWh,0,0,0,22.00 öre/kWh,109.99 öre/kWh,Fossilt,fixed_price_6_months,2026-08-02,SE1
"Fast pris 6 månader, 100 % Fossilfri el",SVEKRAFT AB,0.00 öre/kWh,87.99 öre/kWh,0,0,0,22.00 öre/kWh,109.99 öre/kWh,Sol_Vind_Vatten_Biobränsle,fixed_price_6_months,2026-08-02,SE1
Fast pris 6 månader,Motala Energi AB,9.60 öre/kWh,79.90 öre/kWh,0,0,0,22.38 öre/kWh,111.88 öre/kWh,Fossilt,fixed_price_6_months,2026-08-02,SE1
Fast pris 6 månader för elområde 1,Luleå Energi AB,14.40 öre/kWh,80.20 öre/kWh,0,0,0,23.65 öre/kWh,118.25 öre/kWh,Vatten_Kärnkraft,fixed_price_6_months,2026-08-02,SE1
Fast pris 6 månader,STOCKHOLMS ELBOLAG AB,19.20 öre/kWh,76.90 öre/kWh,0,0,0,24.02 öre/kWh,120.13 öre/kWh,Fossilt,fixed_price_6_months,2026-08-02,SE1
Fast elpris 6 mån återvunnnen el,Bodens Energi AB,16.80 öre/kWh,79.30 öre/kWh,0,0,0,24.02 öre/kWh,120.13 öre/kWh,Fossilt,fixed_price_6_months,2026-08-02,SE1
